Source	Target
DB00276	ENSG00000055118
DB01113	ENSG00000184588
DB01113	ENSG00000112541
DB00129	ENSG00000102743
DB00129	ENSG00000143450
DB00129	ENSG00000081181
DB00129	ENSG00000099960
DB00129	ENSG00000003989
DB00129	ENSG00000165349
DB00129	ENSG00000171766
DB00129	ENSG00000036473
DB00129	ENSG00000104904
DB00129	ENSG00000139514
DB00129	ENSG00000118520
DB00129	ENSG00000065154
DB00129	ENSG00000180304
DB00129	ENSG00000120329
DB00771	ENSG00000168539
DB00469	ENSG00000095303
DB00469	ENSG00000073756
DB01325	ENSG00000070915
DB01325	ENSG00000074803
DB01325	ENSG00000133742
DB01325	ENSG00000104267
DB01325	ENSG00000064651
DB00519	ENSG00000159640
DB00852	ENSG00000131196
DB00852	ENSG00000109471
DB00852	ENSG00000276996
DB00852	ENSG00000142319
DB00852	ENSG00000108576
DB00852	ENSG00000169252
DB00852	ENSG00000228321
DB00852	ENSG00000232810
DB00852	ENSG00000230108
DB00852	ENSG00000206439
DB00852	ENSG00000204490
DB00852	ENSG00000228849
DB00852	ENSG00000223952
DB00852	ENSG00000120907
DB00852	ENSG00000103546
DB00852	ENSG00000043591
DB00852	ENSG00000123268
DB00852	ENSG00000150594
DB00288	ENSG00000113580
DB00288	ENSG00000135046
DB00610	ENSG00000120907
DB00884	ENSG00000160752
DB00685	ENSG00000131747
DB00804	ENSG00000168539
DB00804	ENSG00000181072
DB00444	ENSG00000131747
DB00604	ENSG00000166736
DB00604	ENSG00000055118
DB00604	ENSG00000164270
DB00604	ENSG00000102468
DB01175	ENSG00000108576
DB01175	ENSG00000120907
DB01175	ENSG00000196639
DB01175	ENSG00000168539
DB01175	ENSG00000276996
DB01175	ENSG00000142319
DB01175	ENSG00000103546
DB00161	ENSG00000231116
DB00161	ENSG00000224264
DB00161	ENSG00000096171
DB00161	ENSG00000204394
DB00161	ENSG00000226589
DB00161	ENSG00000114054
DB00161	ENSG00000060982
DB00502	ENSG00000184845
DB00502	ENSG00000149295
DB00502	ENSG00000273079
DB00502	ENSG00000102468
DB00502	ENSG00000151577
DB00546	ENSG00000187730
DB00546	ENSG00000186297
DB00546	ENSG00000183185
DB00546	ENSG00000094755
DB00546	ENSG00000102287
DB00546	ENSG00000146276
DB00546	ENSG00000163288
DB00546	ENSG00000111886
DB00546	ENSG00000113327
DB00546	ENSG00000163285
DB00546	ENSG00000145864
DB00546	ENSG00000151834
DB00546	ENSG00000022355
DB00546	ENSG00000011677
DB00546	ENSG00000182256
DB00546	ENSG00000166206
DB01006	ENSG00000137869
DB00887	ENSG00000124140
DB00887	ENSG00000064651
DB00887	ENSG00000001626
DB00887	ENSG00000124067
DB00887	ENSG00000074803
DB01586	ENSG00000151632
DB00454	ENSG00000168539
DB00454	ENSG00000176884
DB00454	ENSG00000108576
DB00454	ENSG00000273079
DB00454	ENSG00000105464
DB00454	ENSG00000082556
DB00454	ENSG00000161509
DB00454	ENSG00000183454
DB00454	ENSG00000112038
DB00454	ENSG00000276996
DB00454	ENSG00000142319
DB00454	ENSG00000103546
DB00858	ENSG00000169083
DB00385	ENSG00000131747
DB01281	ENSG00000114013
DB01281	ENSG00000121594
DB00356	ENSG00000156113
DB01418	ENSG00000167397
DB00745	ENSG00000170214
DB00745	ENSG00000276996
DB00745	ENSG00000142319
DB00156	ENSG00000185875
DB00156	ENSG00000113407
DB00156	ENSG00000143374
DB00706	ENSG00000170214
DB00706	ENSG00000120907
DB00706	ENSG00000171873
DB00038	ENSG00000137070
DB01118	ENSG00000196557
DB01118	ENSG00000043591
DB01118	ENSG00000007402
DB01118	ENSG00000055118
DB00306	ENSG00000186297
DB00306	ENSG00000011677
DB00306	ENSG00000022355
DB00306	ENSG00000109158
DB00306	ENSG00000274542
DB00306	ENSG00000175344
DB00306	ENSG00000145863
DB00306	ENSG00000101204
DB00306	ENSG00000120251
DB00306	ENSG00000151834
DB00306	ENSG00000164418
DB00764	ENSG00000113580
DB00845	ENSG00000073734
DB00845	ENSG00000085563
DB01340	ENSG00000159640
DB00864	ENSG00000088832
DB06287	ENSG00000198793
DB01392	ENSG00000179546
DB01392	ENSG00000151577
DB01392	ENSG00000178394
DB01392	ENSG00000150594
DB01392	ENSG00000184160
DB01392	ENSG00000151704
DB01392	ENSG00000135914
DB01392	ENSG00000149295
DB01392	ENSG00000135312
DB01392	ENSG00000102468
DB01392	ENSG00000147246
DB06212	ENSG00000126895
DB06212	ENSG00000166148
DB01244	ENSG00000160014
DB01244	ENSG00000198668
DB01244	ENSG00000143933
DB01244	ENSG00000115252
DB01244	ENSG00000114854
DB01244	ENSG00000007402
DB01244	ENSG00000053918
DB01244	ENSG00000196557
DB01244	ENSG00000163399
DB01244	ENSG00000123360
DB01244	ENSG00000141837
DB01086	ENSG00000185313
DB00282	ENSG00000160752
DB00117	ENSG00000140287
DB00117	ENSG00000188338
DB00117	ENSG00000084110
DB00117	ENSG00000170445
DB06706	ENSG00000165646
DB06706	ENSG00000120907
DB00987	ENSG00000070501
DB02638	ENSG00000166148
DB02638	ENSG00000198049
DB02638	ENSG00000126895
DB00102	ENSG00000175899
DB00102	ENSG00000134853
DB00102	ENSG00000113721
DB00215	ENSG00000168539
DB00215	ENSG00000196639
DB00215	ENSG00000108576
DB00215	ENSG00000120907
DB01431	ENSG00000082175
DB01431	ENSG00000091831
DB00861	ENSG00000073756
DB00861	ENSG00000095303
DB01336	ENSG00000120903
DB01336	ENSG00000181072
DB01599	ENSG00000165029
DB01599	ENSG00000262243
DB01599	ENSG00000198848
DB04880	ENSG00000172572
DB08799	ENSG00000196639
DB01403	ENSG00000147246
DB01403	ENSG00000196639
DB01403	ENSG00000180720
DB01403	ENSG00000184845
DB01403	ENSG00000150594
DB01403	ENSG00000170214
DB01403	ENSG00000151577
DB01403	ENSG00000184160
DB01403	ENSG00000171873
DB01403	ENSG00000181072
DB01403	ENSG00000133019
DB01403	ENSG00000120907
DB01403	ENSG00000184984
DB01403	ENSG00000169676
DB01403	ENSG00000149295
DB01403	ENSG00000168539
DB01403	ENSG00000069696
DB01403	ENSG00000102468
DB00657	ENSG00000120903
DB00871	ENSG00000169252
DB00422	ENSG00000276996
DB00422	ENSG00000142319
DB00422	ENSG00000103546
DB00422	ENSG00000108576
DB00131	ENSG00000184588
DB00131	ENSG00000151726
DB00131	ENSG00000137193
DB00131	ENSG00000111725
DB00131	ENSG00000131069
DB00131	ENSG00000100504
DB00131	ENSG00000132356
DB00131	ENSG00000118260
DB00131	ENSG00000156110
DB00131	ENSG00000164742
DB00131	ENSG00000154930
DB00131	ENSG00000113448
DB00131	ENSG00000165140
DB00131	ENSG00000169567
DB00131	ENSG00000131791
DB01098	ENSG00000113161
DB00440	ENSG00000228716
DB00440	ENSG00000176890
DB00572	ENSG00000180720
DB00572	ENSG00000181072
DB00572	ENSG00000184984
DB00572	ENSG00000133019
DB00572	ENSG00000168539
DB01116	ENSG00000129749
DB00176	ENSG00000108576
DB00665	ENSG00000169083
DB01179	ENSG00000131747
DB01179	ENSG00000127824
DB01179	ENSG00000235067
DB01179	ENSG00000229684
DB01179	ENSG00000183311
DB01179	ENSG00000227739
DB01179	ENSG00000196230
DB01179	ENSG00000224156
DB01179	ENSG00000232421
DB01179	ENSG00000232575
DB01160	ENSG00000122420
DB01160	ENSG00000160013
DB00045	ENSG00000137462
DB01045	ENSG00000111700
DB01045	ENSG00000144852
DB01045	ENSG00000084453
DB01045	ENSG00000001630
DB01045	ENSG00000163631
DB01045	ENSG00000134538
DB01045	ENSG00000137491
DB00623	ENSG00000149295
DB00623	ENSG00000184845
DB00623	ENSG00000160014
DB00623	ENSG00000198668
DB00623	ENSG00000143933
DB00626	ENSG00000119912
DB00626	ENSG00000175899
DB01410	ENSG00000113580
DB01624	ENSG00000150594
DB01624	ENSG00000196639
DB01624	ENSG00000169676
DB01624	ENSG00000184845
DB01624	ENSG00000149295
DB01624	ENSG00000120907
DB01624	ENSG00000102468
DB00692	ENSG00000120907
DB00692	ENSG00000150594
DB08816	ENSG00000169313
DB00418	ENSG00000186297
DB00418	ENSG00000011677
DB00418	ENSG00000101204
DB00418	ENSG00000151834
DB00418	ENSG00000274542
DB00418	ENSG00000175344
DB00418	ENSG00000120251
DB00418	ENSG00000022355
DB00418	ENSG00000164418
DB00418	ENSG00000109158
DB00418	ENSG00000145863
DB00418	ENSG00000176884
DB01095	ENSG00000113161
DB04861	ENSG00000169252
DB04861	ENSG00000043591
DB00575	ENSG00000150594
DB00575	ENSG00000171873
DB00575	ENSG00000120907
DB00575	ENSG00000170214
DB00575	ENSG00000184160
DB00723	ENSG00000171873
DB00723	ENSG00000120907
DB00723	ENSG00000170214
DB00494	ENSG00000093010
DB00899	ENSG00000116329
DB00899	ENSG00000082556
DB00899	ENSG00000112038
DB01284	ENSG00000185231
DB01612	ENSG00000169418
DB00162	ENSG00000162496
DB00162	ENSG00000135437
DB00162	ENSG00000265203
DB00162	ENSG00000072042
DB00162	ENSG00000276684
DB00162	ENSG00000160439
DB00162	ENSG00000128918
DB00162	ENSG00000139988
DB00162	ENSG00000042445
DB00162	ENSG00000157326
DB00162	ENSG00000114115
DB00162	ENSG00000121207
DB00162	ENSG00000140522
DB00162	ENSG00000184254
DB00162	ENSG00000165092
DB00162	ENSG00000240857
DB01036	ENSG00000168539
DB01036	ENSG00000181072
DB01036	ENSG00000184984
DB01036	ENSG00000180720
DB01036	ENSG00000133019
DB01438	ENSG00000144285
DB00647	ENSG00000116329
DB00647	ENSG00000112038
DB00647	ENSG00000082556
DB01062	ENSG00000168539
DB01062	ENSG00000133019
DB01062	ENSG00000181072
DB01041	ENSG00000229314
DB01041	ENSG00000228321
DB01041	ENSG00000232810
DB01041	ENSG00000230108
DB01041	ENSG00000206439
DB01041	ENSG00000204490
DB01041	ENSG00000228849
DB01041	ENSG00000223952
DB01041	ENSG00000109320
DB01041	ENSG00000113851
DB01041	ENSG00000073756
DB01041	ENSG00000066468
DB00721	ENSG00000276996
DB00721	ENSG00000142319
DB00721	ENSG00000189221
DB00721	ENSG00000198785
DB00721	ENSG00000120903
DB00721	ENSG00000156113
DB00721	ENSG00000185313
DB00721	ENSG00000166736
DB06589	ENSG00000128052
DB06589	ENSG00000037280
DB06589	ENSG00000113578
DB06589	ENSG00000102755
DB06589	ENSG00000113263
DB06589	ENSG00000113721
DB06589	ENSG00000134853
DB06589	ENSG00000157404
DB06589	ENSG00000068078
DB06589	ENSG00000111252
DB00061	ENSG00000177885
DB04932	ENSG00000163485
DB04932	ENSG00000128271
DB04932	ENSG00000170425
DB00797	ENSG00000113749
DB00797	ENSG00000184160
DB00797	ENSG00000120907
DB00797	ENSG00000196639
DB00797	ENSG00000150594
DB00484	ENSG00000150594
DB00484	ENSG00000184160
DB00719	ENSG00000196639
DB01222	ENSG00000113580
DB00633	ENSG00000150594
DB00909	ENSG00000183873
DB00909	ENSG00000169239
DB00909	ENSG00000164879
DB00909	ENSG00000133742
DB00909	ENSG00000107159
DB00909	ENSG00000168356
DB00909	ENSG00000144285
DB00909	ENSG00000166257
DB00909	ENSG00000178538
DB00909	ENSG00000196557
DB00909	ENSG00000100346
DB00909	ENSG00000168748
DB00909	ENSG00000105711
DB00909	ENSG00000074410
DB00909	ENSG00000177098
DB00909	ENSG00000069535
DB00909	ENSG00000185015
DB00909	ENSG00000131686
DB00909	ENSG00000006283
DB00909	ENSG00000149575
DB00909	ENSG00000118298
DB00909	ENSG00000007314
DB00909	ENSG00000153253
DB00909	ENSG00000104267
DB00909	ENSG00000154975
DB00909	ENSG00000136531
DB00909	ENSG00000174990
DB00909	ENSG00000063180
DB00909	ENSG00000169432
DB00909	ENSG00000167434
DB00909	ENSG00000189221
DB05332	ENSG00000117400
DB00873	ENSG00000113580
DB00978	ENSG00000131747
DB00433	ENSG00000149295
DB00674	ENSG00000135902
DB00674	ENSG00000160716
DB00674	ENSG00000170175
DB00674	ENSG00000101204
DB00674	ENSG00000174343
DB00674	ENSG00000120903
DB00674	ENSG00000108556
DB00674	ENSG00000087085
DB00674	ENSG00000147432
DB00674	ENSG00000117971
DB00674	ENSG00000080644
DB00674	ENSG00000147434
DB00674	ENSG00000274542
DB00674	ENSG00000175344
DB00674	ENSG00000138435
DB00674	ENSG00000196811
DB00674	ENSG00000114200
DB00674	ENSG00000169684
DB00674	ENSG00000129749
DB01107	ENSG00000022355
DB00066	ENSG00000170820
DB00678	ENSG00000144891
DB04871	ENSG00000147246
DB04840	ENSG00000103546
DB00984	ENSG00000169083
DB00908	ENSG00000055118
DB00908	ENSG00000135750
DB00908	ENSG00000099337
DB00908	ENSG00000183873
DB00072	ENSG00000146648
DB00072	ENSG00000173369
DB00072	ENSG00000159189
DB00072	ENSG00000203747
DB00072	ENSG00000182326
DB00072	ENSG00000141736
DB00072	ENSG00000143226
DB00072	ENSG00000159403
DB00072	ENSG00000150337
DB00072	ENSG00000162747
DB00072	ENSG00000173372
DB00072	ENSG00000072694
DB00016	ENSG00000187266
DB00423	ENSG00000133742
DB00411	ENSG00000168539
DB00411	ENSG00000181072
DB00411	ENSG00000120903
DB04942	ENSG00000131759
DB04942	ENSG00000077092
DB00866	ENSG00000178394
DB00866	ENSG00000169252
DB00866	ENSG00000043591
DB04876	ENSG00000197635
DB00448	ENSG00000105675
DB01105	ENSG00000108576
DB01105	ENSG00000276996
DB01105	ENSG00000142319
DB01105	ENSG00000103546
DB00960	ENSG00000043591
DB00960	ENSG00000178394
DB00960	ENSG00000135312
DB00960	ENSG00000169252
DB00107	ENSG00000101405
DB00107	ENSG00000180914
DB08889	ENSG00000008018
DB08889	ENSG00000235715
DB08889	ENSG00000226201
DB08889	ENSG00000230669
DB08889	ENSG00000206298
DB08889	ENSG00000236443
DB08889	ENSG00000204264
DB08889	ENSG00000230034
DB08889	ENSG00000231631
DB08889	ENSG00000242711
DB08889	ENSG00000240065
DB08889	ENSG00000243958
DB08889	ENSG00000240508
DB08889	ENSG00000239836
DB08889	ENSG00000243594
DB08889	ENSG00000243067
DB08889	ENSG00000240118
DB08889	ENSG00000126067
DB08889	ENSG00000205220
DB08889	ENSG00000100804
DB01394	ENSG00000235067
DB01394	ENSG00000229684
DB01394	ENSG00000183311
DB01394	ENSG00000227739
DB01394	ENSG00000196230
DB01394	ENSG00000224156
DB01394	ENSG00000232421
DB01394	ENSG00000232575
DB01394	ENSG00000101162
DB08804	ENSG00000169083
DB00293	ENSG00000176890
DB00293	ENSG00000136877
DB00021	ENSG00000080293
DB00100	ENSG00000126218
DB00100	ENSG00000115486
DB00100	ENSG00000057593
DB00100	ENSG00000123384
DB00100	ENSG00000180210
DB00100	ENSG00000088926
DB00100	ENSG00000185010
DB00008	ENSG00000159110
DB00008	ENSG00000142166
DB00500	ENSG00000095303
DB00500	ENSG00000073756
DB00290	ENSG00000105486
DB00290	ENSG00000005156
DB00915	ENSG00000149295
DB00915	ENSG00000198785
DB00378	ENSG00000082175
DB00619	ENSG00000198400
DB00619	ENSG00000097007
DB00619	ENSG00000134853
DB00619	ENSG00000113721
DB00619	ENSG00000157404
DB00619	ENSG00000230456
DB00619	ENSG00000137332
DB00619	ENSG00000204580
DB00619	ENSG00000234078
DB00619	ENSG00000215522
DB00619	ENSG00000182578
DB00682	ENSG00000167397
DB00370	ENSG00000166736
DB00370	ENSG00000149295
DB00370	ENSG00000148680
DB00370	ENSG00000151577
DB00370	ENSG00000103546
DB00370	ENSG00000101180
DB00370	ENSG00000135914
DB00370	ENSG00000147246
DB00370	ENSG00000196639
DB00370	ENSG00000184160
DB00370	ENSG00000120907
DB00370	ENSG00000082556
DB00370	ENSG00000150594
DB00370	ENSG00000169252
DB00370	ENSG00000184845
DB00370	ENSG00000102468
DB00370	ENSG00000043591
DB00370	ENSG00000276996
DB00370	ENSG00000142319
DB00370	ENSG00000108576
DB00346	ENSG00000170214
DB00346	ENSG00000120907
DB00346	ENSG00000055118
DB00346	ENSG00000171873
DB00033	ENSG00000027697
DB00033	ENSG00000159128
DB00033	ENSG00000262795
DB00834	ENSG00000082175
DB00834	ENSG00000113580
DB00153	ENSG00000111424
DB01558	ENSG00000145864
DB01558	ENSG00000094755
DB01558	ENSG00000151834
DB01558	ENSG00000011677
DB01558	ENSG00000268089
DB01558	ENSG00000146276
DB01558	ENSG00000163288
DB01558	ENSG00000145863
DB01558	ENSG00000109158
DB01558	ENSG00000182256
DB01558	ENSG00000187730
DB01558	ENSG00000111886
DB01558	ENSG00000022355
DB01558	ENSG00000163285
DB01558	ENSG00000186297
DB01558	ENSG00000166206
DB01558	ENSG00000183185
DB01558	ENSG00000113327
DB01558	ENSG00000102287
DB00331	ENSG00000111725
DB00201	ENSG00000196218
DB00201	ENSG00000128271
DB00201	ENSG00000121879
DB00201	ENSG00000184588
DB00201	ENSG00000150995
DB00201	ENSG00000149311
DB00201	ENSG00000163485
DB00201	ENSG00000051382
DB00201	ENSG00000115252
DB00201	ENSG00000253729
DB00201	ENSG00000171608
DB01226	ENSG00000120903
DB01226	ENSG00000114200
DB01226	ENSG00000181072
DB01226	ENSG00000133019
DB06710	ENSG00000169083
DB00941	ENSG00000114200
DB06268	ENSG00000136160
DB06268	ENSG00000151617
DB01092	ENSG00000163399
DB01091	ENSG00000104549
DB00297	ENSG00000160951
DB00297	ENSG00000185313
DB00621	ENSG00000169083
DB00565	ENSG00000120903
DB00246	ENSG00000169676
DB00246	ENSG00000120907
DB00246	ENSG00000196639
DB00246	ENSG00000170214
DB00246	ENSG00000147246
DB00246	ENSG00000180720
DB00246	ENSG00000102468
DB00246	ENSG00000069696
DB00246	ENSG00000179546
DB00246	ENSG00000181072
DB00246	ENSG00000149295
DB00246	ENSG00000150594
DB00246	ENSG00000133019
DB00246	ENSG00000168539
DB00246	ENSG00000184984
DB00246	ENSG00000184160
DB00246	ENSG00000151577
DB00246	ENSG00000158748
DB00246	ENSG00000178394
DB00246	ENSG00000168830
DB00246	ENSG00000148680
DB00246	ENSG00000135312
DB00246	ENSG00000184845
DB00246	ENSG00000166736
DB01026	ENSG00000137869
DB01026	ENSG00000169083
DB01026	ENSG00000232414
DB01026	ENSG00000206338
DB01026	ENSG00000198457
DB01026	ENSG00000233151
DB01026	ENSG00000235134
DB01026	ENSG00000231852
DB00916	ENSG00000001630
DB00390	ENSG00000163399
DB01267	ENSG00000170214
DB01267	ENSG00000102468
DB01267	ENSG00000184845
DB01267	ENSG00000151577
DB01267	ENSG00000178394
DB01267	ENSG00000147246
DB01267	ENSG00000179546
DB01267	ENSG00000106258
DB01267	ENSG00000120907
DB01267	ENSG00000069696
DB01267	ENSG00000184160
DB01267	ENSG00000275211
DB01267	ENSG00000100197
DB01267	ENSG00000196639
DB01267	ENSG00000160868
DB01267	ENSG00000150594
DB01267	ENSG00000149295
DB01089	ENSG00000165646
DB01262	ENSG00000130816
DB00799	ENSG00000227322
DB00799	ENSG00000228333
DB00799	ENSG00000206289
DB00799	ENSG00000204231
DB00799	ENSG00000231321
DB00799	ENSG00000235712
DB00799	ENSG00000077092
DB00799	ENSG00000131759
DB00799	ENSG00000172819
DB00713	ENSG00000163406
DB00713	ENSG00000088386
DB00716	ENSG00000080824
DB00716	ENSG00000152207
DB00716	ENSG00000171051
DB00716	ENSG00000173198
DB00716	ENSG00000168229
DB01409	ENSG00000133019
DB01409	ENSG00000181072
DB01409	ENSG00000168539
DB04938	ENSG00000091831
DB00120	ENSG00000180176
DB00120	ENSG00000198650
DB00120	ENSG00000116120
DB00120	ENSG00000092068
DB00120	ENSG00000145982
DB00120	ENSG00000179115
DB00120	ENSG00000171759
DB00865	ENSG00000276996
DB00865	ENSG00000142319
DB00865	ENSG00000150594
DB00865	ENSG00000120907
DB00865	ENSG00000165646
DB00980	ENSG00000168412
DB00980	ENSG00000134640
DB00450	ENSG00000120907
DB00450	ENSG00000149295
DB01028	ENSG00000155511
DB01028	ENSG00000111262
DB01028	ENSG00000198888
DB01028	ENSG00000145888
DB01028	ENSG00000022355
DB01028	ENSG00000099624
DB01028	ENSG00000017260
DB00133	ENSG00000090054
DB00133	ENSG00000167720
DB00133	ENSG00000100596
DB00133	ENSG00000031698
DB00133	ENSG00000172482
DB00133	ENSG00000135094
DB00133	ENSG00000160200
DB00133	ENSG00000274276
DB00549	ENSG00000173198
DB00642	ENSG00000262473
DB00642	ENSG00000159131
DB00642	ENSG00000228716
DB00642	ENSG00000138363
DB00642	ENSG00000176890
DB00951	ENSG00000165841
DB00951	ENSG00000138115
DB00951	ENSG00000140505
DB00951	ENSG00000160868
DB06144	ENSG00000120907
DB06144	ENSG00000158748
DB06144	ENSG00000170214
DB06144	ENSG00000171873
DB06144	ENSG00000149295
DB06144	ENSG00000102468
DB06144	ENSG00000147246
DB06144	ENSG00000055118
DB00287	ENSG00000122420
DB01065	ENSG00000005381
DB01065	ENSG00000196433
DB01065	ENSG00000160014
DB01065	ENSG00000198668
DB01065	ENSG00000143933
DB01065	ENSG00000179218
DB01065	ENSG00000134640
DB01065	ENSG00000168412
DB01065	ENSG00000091831
DB01065	ENSG00000124588
DB01065	ENSG00000198963
DB01065	ENSG00000121053
DB06655	ENSG00000112164
DB00222	ENSG00000187486
DB00222	ENSG00000151704
DB00222	ENSG00000006071
DB00441	ENSG00000162368
DB00441	ENSG00000167325
DB00441	ENSG00000176890
DB00759	ENSG00000171867
DB00759	ENSG00000169313
DB00759	ENSG00000159339
DB00759	ENSG00000280908
DB00111	ENSG00000159403
DB00111	ENSG00000143226
DB00111	ENSG00000100385
DB00111	ENSG00000203747
DB00111	ENSG00000134460
DB00111	ENSG00000173369
DB00111	ENSG00000150337
DB00111	ENSG00000162747
DB00111	ENSG00000173372
DB00111	ENSG00000159189
DB00111	ENSG00000072694
DB01212	ENSG00000149452
DB01212	ENSG00000197901
DB01212	ENSG00000088386
DB01212	ENSG00000168065
DB04896	ENSG00000103546
DB04896	ENSG00000108576
DB04896	ENSG00000176884
DB00489	ENSG00000043591
DB00489	ENSG00000169252
DB00489	ENSG00000055118
DB08935	ENSG00000156738
DB00708	ENSG00000116329
DB00708	ENSG00000112038
DB00708	ENSG00000082556
DB01219	ENSG00000196218
DB00323	ENSG00000093010
DB01436	ENSG00000111012
DB01436	ENSG00000111424
DB00691	ENSG00000130234
DB00691	ENSG00000159640
DB01420	ENSG00000169083
DB00316	ENSG00000073756
DB00316	ENSG00000095303
DB01398	ENSG00000073756
DB01398	ENSG00000095303
DB00302	ENSG00000122194
DB01157	ENSG00000228716
DB04845	ENSG00000258947
DB01400	ENSG00000087085
DB00893	ENSG00000244734
DB00893	ENSG00000167996
DB00893	ENSG00000206172
DB00893	ENSG00000188536
DB00893	ENSG00000087086
DB08801	ENSG00000196639
DB08801	ENSG00000181072
DB05777	ENSG00000180210
DB05777	ENSG00000198734
DB00645	ENSG00000185313
DB00608	ENSG00000239732
DB00608	ENSG00000244067
DB00608	ENSG00000228321
DB00608	ENSG00000232810
DB00608	ENSG00000230108
DB00608	ENSG00000206439
DB00608	ENSG00000204490
DB00608	ENSG00000228849
DB00608	ENSG00000223952
DB08802	ENSG00000196639
DB08880	ENSG00000102967
DB00802	ENSG00000112038
DB00015	ENSG00000171560
DB00015	ENSG00000011422
DB00015	ENSG00000106366
DB00015	ENSG00000122194
DB00993	ENSG00000165704
DB00988	ENSG00000149295
DB00988	ENSG00000123454
DB00988	ENSG00000184845
DB00988	ENSG00000178394
DB00988	ENSG00000276996
DB00988	ENSG00000142319
DB00988	ENSG00000169676
DB00988	ENSG00000151577
DB00988	ENSG00000069696
DB00988	ENSG00000108576
DB00988	ENSG00000148680
DB00988	ENSG00000103546
DB04841	ENSG00000196639
DB04841	ENSG00000100346
DB04841	ENSG00000160014
DB04841	ENSG00000198668
DB04841	ENSG00000143933
DB04841	ENSG00000196557
DB04841	ENSG00000006283
DB01024	ENSG00000106348
