Identifier	Name	Type	Category
DB00688	Mycophenolate mofetil	Drug	Immunosuppressive Agents
DB00689	Cephaloglycin	Drug	Anti-Bacterial Agents, Cephalosporins
DB00205	Pyrimethamine	Drug	Antiprotozoal Agents, Folic Acid Antagonists, Antimalarials
DB00208	Ticlopidine	Drug	
DB00209	Trospium	Drug	
DB00608	Chloroquine	Drug	Antirheumatic Agents, Antimalarials, Amebicides
DB00609	Ethionamide	Drug	Fatty Acid Synthesis Inhibitors, Antitubercular Agents
DB00610	Metaraminol	Drug	Sympathomimetics, Vasoconstrictor Agents, Adrenergic alpha-1 Receptor Agonists
DB00613	Amodiaquine	Drug	
DB00614	Furazolidone	Drug	Anti-Infective Agents, Urinary, Monoamine Oxidase Inhibitors, Antitrichomonal Agents, Anti-Infective Agents, Local
DB00611	Butorphanol	Drug	Narcotic Antagonists, Antitussive Agents, Analgesics, Opioid, Narcotics
DB00612	Bisoprolol	Drug	Sympatholytics, Antihypertensive Agents, Adrenergic beta-1 Receptor Antagonists
DB00617	Paramethadione	Drug	
DB00618	Demeclocycline	Drug	Anti-Bacterial Agents, Tetracyclines
DB00615	Rifabutin	Drug	Anti-Bacterial Agents, Antibiotics, Antitubercular
DB00616	Candoxatril	Drug	Prodrugs
DB00619	Imatinib	Drug	Protein Kinase Inhibitors, Antineoplastic Agents
DB00620	Triamcinolone	Drug	Glucocorticoids, Anti-Inflammatory Agents
DB00621	Oxandrolone	Drug	Androgens, Anabolic Agents
DB00624	Testosterone	Drug	Androgens
DB00625	Efavirenz	Drug	Reverse Transcriptase Inhibitors, Anti-HIV Agents
DB00622	Nicardipine	Drug	Vasodilator Agents, Calcium Channel Blockers, Dihydropyridines, Antihypertensive Agents, Anti-Arrhythmia Agents
DB00623	Fluphenazine	Drug	Antipsychotic Agents, Phenothiazines, Dopamine Antagonists
DB00628	Clorazepate	Drug	
DB00629	Guanabenz	Drug	Adrenergic alpha-2 Receptor Agonists, Antihypertensive Agents
DB00626	Bacitracin	Drug	
DB00627	Niacin	Drug	Vasodilator Agents, Hypolipidemic Agents, Vitamin B Complex
DB00631	Clofarabine	Drug	Purine analogues
DB00632	Docosanol	Drug	Antiviral Agents, Dermatologic Agents
DB00630	Alendronate	Drug	Bone Density Conservation Agents, Antiresorptives, Bisphosphonates, Antihypocalcemic Agents
DB00635	Prednisone	Drug	Antineoplastic Agents, Hormonal, Glucocorticoids, Anti-Inflammatory Agents
DB00636	Clofibrate	Drug	Anticholesteremic Agents, Hypolipidemic Agents
DB00633	Dexmedetomidine	Drug	Analgesics, Non-Narcotic, Adrenergic alpha-2 Receptor Agonists, Hypnotics and Sedatives
DB00634	Sulfacetamide	Drug	Anti-Infective Agents, Urinary, Sulfonamides, Anti-Infective Agents, Local
DB00639	Butoconazole	Drug	Antifungal Agents
DB00637	Astemizole	Drug	Histamine Antagonists
DB00638	Inulin	Drug	Diagnostic Agents
DB00642	Pemetrexed	Drug	
DB00643	Mebendazole	Drug	Tubulin Modulators, Antinematodal Agents
DB00640	Adenosine	Drug	Vasodilator Agents, Analgesics, Cardiovascular Agents, Anti-Arrhythmia Agents
DB00641	Simvastatin	Drug	Anticholesteremic Agents, Hypolipidemic Agents, Hydroxymethylglutaryl-CoA Reductase Inhibitors
DB00646	Nystatin	Drug	Ionophores
DB00647	Dextropropoxyphene	Drug	Antitussive Agents, Analgesics, Opioid, Narcotics
DB00644	Gonadorelin	Drug	
DB00645	Dyclonine	Drug	Anesthetics, Local
DB00648	Mitotane	Drug	Antineoplastic Agents, Hormonal
DB00649	Stavudine	Drug	Reverse Transcriptase Inhibitors, Anti-HIV Agents, Antimetabolites
DB01581	Sulfamerazine	Drug	Sulfonamides
DB01580	Oxprenolol	Drug	Vasodilator Agents, Sympatholytics, Adrenergic beta-Antagonists, Anti-Anxiety Agents, Antihypertensive Agents, Anti-Arrhythmia Agents
DB00250	Dapsone	Drug	Folic Acid Antagonists, Antimalarials, Antimycobacterials, Leprostatic Agents, Anti-Infective Agents
DB00253	Medrysone	Drug	Anti-Inflammatory Agents
DB01101	Capecitabine	Drug	Prodrugs
DB01100	Pimozide	Drug	Anti-Dyskinesia Agents, Antipsychotic Agents, Dopamine Antagonists
DB01584	Thyroglobulin	Drug	
DB00254	Doxycycline	Drug	Anti-Bacterial Agents, Tetracyclines, Antimalarials
DB00251	Terconazole	Drug	Antifungal Agents
DB01583	Liotrix	Drug	Hormone Replacement Agents
DB00252	Phenytoin	Drug	Anticonvulsants, Voltage-Gated Sodium Channel Blockers
DB01582	Sulfamethazine	Drug	Sulfonamides
DB01105	Sibutramine	Drug	Appetite Depressants, Stimulants, Antidepressive Agents
DB00257	Clotrimazole	Drug	Antifungal Agents, 14-alpha Demethylase Inhibitors, Anti-Infective Agents, Local
DB01589	Quazepam	Drug	Hypnotics and Sedatives, Benzodiazepines
DB01104	Sertraline	Drug	Antidepressive Agents, Serotonin Uptake Inhibitors
DB00258	Calcium Acetate	Drug	Antihyperphosphatemic Agents, Chelating Agents
DB01588	Prazepam	Drug	GABA Modulators, Anti-Anxiety Agents
DB01103	Quinacrine	Drug	Anticestodal Agents, Enzyme Inhibitors, Antiprotozoal Agents, Antineoplastic Agents, Antimalarials, Anthelmintics, Antinematodal Agents
DB01587	Ketazolam	Drug	Benzodiazepines
DB00255	Diethylstilbestrol	Drug	Carcinogens, Estrogens, Non-Steroidal
DB01586	Ursodeoxycholic acid	Drug	Cholagogues and Choleretics
DB00256	Lymecycline	Drug	Anti-Bacterial Agents, Antiprotozoal Agents, Tetracyclines
DB01102	Arbutamine	Drug	
DB01109	Heparin	Drug	Anticoagulants, Fibrinolytic Agents, Heparins
DB01108	Trilostane	Drug	Anti-adrenal Agents, Anticorticosteroid
DB01107	Methyprylon	Drug	Hypnotics and Sedatives
DB00259	Sulfanilamide	Drug	Anti-Bacterial Agents, Sulfonamides, Homeopathic Agents
DB01106	Levocabastine	Drug	Histamine H1 Antagonists, Non-Sedating
DB00260	Cycloserine	Drug	Anti-Infective Agents, Urinary, Antibiotics, Antibiotics, Antitubercular, Antimetabolites
DB01592	Iron	Drug	Trace Elements, Anti-anemic Agents, Supplements
DB01591	Solifenacin	Drug	Antispasmodics, Muscarinic Antagonists, Anti-Incontinence Agents
DB00261	Anagrelide	Drug	Antithrombins
DB01590	Everolimus	Drug	Immunosuppressive Agents
DB01112	Cefuroxime	Drug	Anti-Bacterial Agents, Cephalosporins
DB00264	Metoprolol	Drug	Sympatholytics, Antihypertensive Agents, Adrenergic beta-1 Receptor Antagonists, Anti-Arrhythmia Agents
DB00265	Crotamiton	Drug	Antiscabies Agents, Pesticides
DB06800	Methylnaltrexone	Drug	Narcotic Antagonists
DB01111	Colistimethate	Drug	Anti-Bacterial Agents
DB01595	Nitrazepam	Drug	Anticonvulsants, GABA Modulators, Anti-Anxiety Agents, Hypnotics and Sedatives
DB00262	Carmustine	Drug	Antineoplastic Agents, Alkylating
DB01594	Cinolazepam	Drug	Hypnotics and Sedatives, Benzodiazepines
DB01110	Miconazole	Drug	Antifungal Agents, 14-alpha Demethylase Inhibitors
DB06803	Niclosamide	Drug	
DB00263	Sulfisoxazole	Drug	Sulfonamides, Anti-Infective Agents
DB06802	Nepafenac	Drug	Anti-Inflammatory Agents, Non-Steroidal, Prodrugs, Anti-Inflammatory Agents
DB01593	Zinc	Drug	Trace Elements
DB01116	Trimethaphan	Drug	Ganglionic Blockers, Antihypertensive Agents, Adjuvants, Anesthesia, Nicotinic Antagonists
DB00268	Ropinirole	Drug	Antiparkinson Agents, Antidyskinetics, Dopamine Agonists
DB01599	Probucol	Drug	Antioxidants, Anticholesteremic Agents
DB01115	Nifedipine	Drug	Dihydropyridines
DB01598	Imipenem	Drug	Anti-Bacterial Agents
DB00266	Dicoumarol	Drug	Anticoagulants, Enzyme Inhibitors, Uncoupling Agents
DB01114	Chlorphenamine	Drug	Histamine H1 Antagonists, Histamine Antagonists
DB01113	Papaverine	Drug	
DB01597	Cilastatin	Drug	
DB00267	Cefmenoxime	Drug	Anti-Bacterial Agents, Cephalosporins
DB06809	Plerixafor	Drug	Anti-HIV Agents, Hematopoietic Agents
DB01119	Diazoxide	Drug	Sodium Chloride Symporter Inhibitors
DB01118	Amiodarone	Drug	Vasodilator Agents, Enzyme Inhibitors, Anti-Arrhythmia Agents
DB01117	Atovaquone	Drug	
DB06804	Nonoxynol-9	Drug	Contraceptive Agents
DB00271	Diatrizoate	Drug	Contrast Media
DB00272	Betazole	Drug	Histamine Agonists, Diagnostic Agents, Gastrointestinal Agents
DB00270	Isradipine	Drug	Vasodilator Agents, Calcium Channel Blockers, Antihypertensive Agents
DB00275	Olmesartan	Drug	Angiotensin II Type 1 Receptor Blockers
DB01123	Proflavine	Drug	Anti-Infective Agents, Local
DB00276	Amsacrine	Drug	Antineoplastic Agents, Intercalating Agents
DB06811	Polidocanol	Drug	Sclerosing Solutions, Detergents
DB01122	Ambenonium	Drug	Antimyasthenic Agents, Anti-Arrhythmia Agents
DB00273	Topiramate	Drug	Neuroprotective Agents, Anticonvulsants, Anti-Obesity Agents
DB01121	Phenacemide	Drug	
DB01120	Gliclazide	Drug	Hypoglycemic Agents, Antidiabetic Agents
DB00274	Cefmetazole	Drug	Anti-Bacterial Agents, Cephalosporins
DB06813	Pralatrexate	Drug	
DB01127	Econazole	Drug	
DB00279	Liothyronine	Drug	Hormone Replacement Agents
DB01126	Dutasteride	Drug	
DB00277	Theophylline	Drug	Phosphodiesterase Inhibitors, Purinergic P1 Receptor Antagonists, Vasodilator Agents, Muscle Relaxants, Respiratory, Bronchodilator Agents
DB01125	Anisindione	Drug	
DB06810	Plicamycin	Drug	Nucleic Acid Synthesis Inhibitors, Antibiotics, Antineoplastic, Protein Synthesis Inhibitors, Fluorescent Dyes
DB00278	Argatroban	Drug	
DB01124	Tolbutamide	Drug	Hypoglycemic Agents, Antidiabetic Agents
DB01129	Rabeprazole	Drug	Enzyme Inhibitors, Anti-Ulcer Agents
DB01128	Bicalutamide	Drug	
DB06817	Raltegravir	Drug	Anti-HIV Agents
DB00282	Pamidronate	Drug	Bone Density Conservation Agents, Bisphosphonates
DB01130	Prednicarbate	Drug	Corticosteroids, Anti-Inflammatory Agents, Steroids
DB00283	Clemastine	Drug	Histamine H1 Antagonists, Anti-Allergic Agents, Antipruritics
DB00280	Disopyramide	Drug	Voltage-Gated Sodium Channel Blockers, Anti-Arrhythmia Agents
DB00281	Lidocaine	Drug	Voltage-Gated Sodium Channel Blockers, Anti-Arrhythmia Agents, Anesthetics, Local
DB00286	Conjugated Estrogens	Drug	Estrogens
DB00287	Travoprost	Drug	Anti-glaucoma Agents, Prostaglandins, Synthetic, Ophthalmics
DB01133	Tiludronate	Drug	Bone Density Conservation Agents, Antihypocalcemic Agents
DB06822	Tinzaparin	Drug	Antithrombins, Heparins
DB00284	Acarbose	Drug	
DB01132	Pioglitazone	Drug	Hypoglycemic Agents
DB01131	Proguanil	Drug	
DB00285	Venlafaxine	Drug	Antidepressive Agents
DB01138	Sulfinpyrazone	Drug	Uricosuric Agents
DB01137	Levofloxacin	Drug	Quinolones
DB00288	Amcinonide	Drug	Corticosteroids, Glucocorticoids
DB01136	Carvedilol	Drug	Vasodilator Agents, Adrenergic beta-Antagonists, Antihypertensive Agents, Adrenergic alpha-1 Receptor Antagonists
DB01135	Doxacurium chloride	Drug	
DB00289	Atomoxetine	Drug	Adrenergic Uptake Inhibitors, Antidepressive Agents
DB01139	Cefapirin	Drug	Anti-Bacterial Agents, Cephalosporins
DB06827	Viomycin	Drug	
DB09020	Bisacodyl	Drug	
DB09028	Cytisine	Drug	
DB09026	Aliskiren	Drug	
DB00690	Flurazepam	Drug	
DB09024	Follitropin Alpha	Drug	
DB09021	Benzoctamine	Drug	
DB00693	Fluorescein	Drug	Contrast Media, Fluorescent Dyes
DB00694	Daunorubicin	Drug	Antibiotics, Antibiotics, Antineoplastic
DB00210	Adapalene	Drug	Anti-Inflammatory Agents, Non-Steroidal, Dermatologic Agents
DB00691	Moexipril	Drug	Angiotensin-Converting Enzyme Inhibitors
DB00692	Phentolamine	Drug	Adrenergic alpha-Antagonists, Antihypertensive Agents
DB00697	Tizanidine	Drug	Neuromuscular Agents, Anticonvulsants, Adrenergic alpha-2 Receptor Agonists, Analgesics, Parasympatholytics, Muscle Relaxants, Central, Muscle Relaxants, Skeletal
DB01545	Ethyl loflazepate	Drug	
DB00213	Pantoprazole	Drug	Proton Pump Inhibitors, Anti-Ulcer Agents
DB00214	Torasemide	Drug	Sodium Potassium Chloride Symporter Inhibitors, Diuretics, Antihypertensive Agents
DB00698	Nitrofurantoin	Drug	Anti-Infective Agents, Urinary, Anti-Infective Agents
DB01544	Flunitrazepam	Drug	GABA Modulators, Anti-Anxiety Agents, Benzodiazepines
DB09029	Secukinumab	Drug	
DB00695	Furosemide	Drug	Sodium Potassium Chloride Symporter Inhibitors, Diuretics
DB00211	Midodrine	Drug	Sympathomimetics, Vasoconstrictor Agents, Adrenergic alpha-1 Receptor Agonists
DB00212	Remikiren	Drug	
DB00696	Ergotamine	Drug	
DB00217	Bethanidine	Drug	Sympatholytics, Antihypertensive Agents, Adrenergic Agents
DB00218	Moxifloxacin	Drug	Quinolones
DB00215	Citalopram	Drug	Antidepressive Agents, Second-Generation, Antidepressive Agents, Serotonin Uptake Inhibitors
DB00699	Nicergoline	Drug	Vasodilator Agents, Adrenergic alpha-Antagonists, Nootropic Agents
DB00216	Eletriptan	Drug	Serotonin Receptor Agonists, Serotonin Antagonists, Anti-migraine Agents
DB00219	Oxyphenonium	Drug	
DB00220	Nelfinavir	Drug	
DB00221	Isoetarine	Drug	Bronchodilator Agents, Adrenergic beta-2 Receptor Agonists
DB01551	Dihydrocodeine	Drug	Analgesics, Opioid
DB01550	Fenproporex	Drug	Appetite Depressants, Stimulants
DB00224	Indinavir	Drug	
DB00225	Gadodiamide	Drug	
DB00222	Glimepiride	Drug	Hypoglycemic Agents, Immunosuppressive Agents, Antidiabetic Agents, Anti-Arrhythmia Agents
DB01553	Cloxazolam	Drug	Neuromuscular Agents, Hypnotics and Sedatives, Benzodiazepines
DB00223	Diflorasone	Drug	Glucocorticoids, Anti-Inflammatory Agents
DB00228	Enflurane	Drug	Anesthetics, Inhalation, Anesthetics
DB00229	Cefotiam	Drug	Anti-Bacterial Agents, Cephalosporins
DB01559	Clotiazepam	Drug	Benzodiazepines
DB01558	Bromazepam	Drug	GABA Modulators, Anti-Anxiety Agents, Benzodiazepines
DB00226	Guanadrel	Drug	Antihypertensive Agents
DB00227	Lovastatin	Drug	Anticholesteremic Agents, Hydroxymethylglutaryl-CoA Reductase Inhibitors
DB00231	Temazepam	Drug	Benzodiazepines
DB00232	Methyclothiazide	Drug	Sodium Chloride Symporter Inhibitors
DB00230	Pregabalin	Drug	Anticonvulsants, Analgesics
DB01567	Fludiazepam	Drug	Benzodiazepines
DB00235	Milrinone	Drug	Cardiotonic Agents, Vasodilator Agents, Phosphodiesterase 3 Inhibitors, Platelet Aggregation Inhibitors
DB00236	Pipobroman	Drug	
DB00233	Aminosalicylic Acid	Drug	Antitubercular Agents
DB00234	Reboxetine	Drug	
DB00239	Oxiconazole	Drug	Antifungal Agents
DB00237	Butabarbital	Drug	Hypnotics and Sedatives, Barbiturates
DB00238	Nevirapine	Drug	Reverse Transcriptase Inhibitors, Anti-HIV Agents
DB01574	Attapulgite	Drug	
DB00242	Cladribine	Drug	Immunosuppressive Agents, Antineoplastic Agents
DB00243	Ranolazine	Drug	
DB00240	Alclometasone	Drug	Corticosteroids, Antipruritics
DB00241	Butalbital	Drug	
DB00246	Ziprasidone	Drug	Antipsychotic Agents
DB01578	Metrizamide	Drug	
DB01577	Methamphetamine	Drug	Central Nervous System Stimulants, Adrenergic Uptake Inhibitors, Sympathomimetics, Adrenergic Agents, Dopamine Agents, Dopamine Uptake Inhibitors
DB00247	Methysergide	Drug	Vasoconstrictor Agents, Serotonin Antagonists
DB00244	Mesalazine	Drug	Anti-Inflammatory Agents, Non-Steroidal
DB01576	Dextroamphetamine	Drug	Central Nervous System Stimulants, Dopamine Uptake Inhibitors
DB00245	Benzatropine	Drug	Antiparkinson Agents, Parasympatholytics, Antidyskinetics, Muscarinic Antagonists, Dopamine Uptake Inhibitors
DB01575	Kaolin	Drug	
DB00248	Cabergoline	Drug	Antiparkinson Agents, Antineoplastic Agents, Dopamine Agonists
DB00249	Idoxuridine	Drug	Nucleic Acid Synthesis Inhibitors, Antiviral Agents
DB01579	Phendimetrazine	Drug	Central Nervous System Stimulants, Appetite Depressants
DB01181	Ifosfamide	Drug	
DB01180	Rescinnamine	Drug	
DB01185	Fluoxymesterone	Drug	Anabolic Agents
DB01184	Domperidone	Drug	
DB01183	Naloxone	Drug	Narcotic Antagonists, Central Nervous System Depressants
DB01182	Propafenone	Drug	Voltage-Gated Sodium Channel Blockers, Anti-Arrhythmia Agents
DB01189	Desflurane	Drug	Anesthetics, Inhalation
DB01188	Ciclopirox	Drug	Antifungal Agents
DB01187	Iophendylate	Drug	
DB01186	Pergolide	Drug	Antidyskinetics, Dopamine Agonists
DB01192	Oxymorphone	Drug	Analgesics, Opioid, Narcotics, Adjuvants, Adjuvants, Anesthesia
DB01191	Dexfenfluramine	Drug	Anti-Obesity Agents, Serotonin Receptor Agonists, Serotonin Uptake Inhibitors
DB01190	Clindamycin	Drug	Anti-Bacterial Agents, Antibiotics, Protein Synthesis Inhibitors
DB01196	Estramustine	Drug	Antineoplastic Agents, Hormonal, Antineoplastic Agents, Alkylating
DB01195	Flecainide	Drug	Voltage-Gated Sodium Channel Blockers, Anti-Arrhythmia Agents
DB01194	Brinzolamide	Drug	Anti-glaucoma Agents, Ophthalmics
DB01193	Acebutolol	Drug	Sympathomimetics, Antihypertensive Agents, Adrenergic beta-1 Receptor Antagonists, Anti-Arrhythmia Agents
DB01199	Tubocurarine	Drug	Neuromuscular Nondepolarizing Agents, Muscle Relaxants, Skeletal, Nicotinic Antagonists
DB01198	Zopiclone	Drug	Hypnotics and Sedatives
DB01197	Captopril	Drug	Angiotensin-Converting Enzyme Inhibitors, Antihypertensive Agents
DB06402	Telavancin	Drug	Anti-Bacterial Agents
DB06414	Etravirine	Drug	Reverse Transcriptase Inhibitors
DB08604	Triclosan	Drug	
DB00290	Bleomycin	Drug	Antibiotics, Antineoplastic
DB00293	Raltitrexed	Drug	
DB01141	Micafungin	Drug	Antifungal Agents
DB01140	Cefadroxil	Drug	Anti-Bacterial Agents, Cephalosporins
DB00294	Etonogestrel	Drug	Contraceptive Agents
DB00291	Chlorambucil	Drug	Antineoplastic Agents, Alkylating
DB00292	Etomidate	Drug	Anesthetics, Intravenous, Hypnotics and Sedatives
DB00297	Bupivacaine	Drug	Anesthetics, Local
DB01145	Sulfoxone	Drug	Sulfonamides, Anti-Infective Agents
DB01144	Diclofenamide	Drug	Carbonic Anhydrase Inhibitors, Anti-glaucoma Agents, Ophthalmics
DB00298	Dapiprazole	Drug	Antimydriatic Agents, Ophthalmics
DB00295	Morphine	Drug	Analgesics, Opioid, Narcotics
DB01143	Amifostine	Drug	Radiation-Protective Agents
DB01142	Doxepin	Drug	Adrenergic Uptake Inhibitors, Antidepressive Agents
DB00296	Ropivacaine	Drug	Anesthetics, Local
DB01149	Nefazodone	Drug	Antidepressive Agents, Second-Generation, Antidepressive Agents
DB01148	Flavoxate	Drug	Parasympatholytics
DB01147	Cloxacillin	Drug	Penicillins
DB00299	Penciclovir	Drug	Antiviral Agents
DB01146	Diphenylpyraline	Drug	Histamine Antagonists
DB01151	Desipramine	Drug	Enzyme Inhibitors, Adrenergic Uptake Inhibitors, Antidepressive Agents, Tricyclic, Antidepressive Agents
DB01150	Cefprozil	Drug	Anti-Bacterial Agents, Cephalosporins
DB01156	Bupropion	Drug	Antidepressive Agents, Second-Generation, Dopamine Uptake Inhibitors
DB01155	Gemifloxacin	Drug	Anti-Bacterial Agents, Quinolones
DB01154	Thiamylal	Drug	
DB01153	Sertaconazole	Drug	Antifungal Agents
DB01159	Halothane	Drug	Anesthetics, Inhalation, Anesthetics
DB01158	Bretylium	Drug	Adrenergic Antagonists, Antihypertensive Agents, Anti-Arrhythmia Agents
DB01157	Trimetrexate	Drug	Antiprotozoal Agents, Antibiotics, Folic Acid Antagonists, Antimetabolites, Antineoplastic, Antifungal Agents
DB01162	Terazosin	Drug	Adrenergic alpha-1 Receptor Antagonists
DB01161	Chloroprocaine	Drug	Anesthetics, Local
DB01160	Dinoprost Tromethamine	Drug	Angiography, Stimulants, Uterine, Oxytocics, Abortifacient Agents, Nonsteroidal
DB01167	Itraconazole	Drug	Antiprotozoal Agents, Antifungal Agents, 14-alpha Demethylase Inhibitors
DB01166	Cilostazol	Drug	Vasodilator Agents, Neuroprotective Agents, Phosphodiesterase 3 Inhibitors, Platelet Aggregation Inhibitors, Bronchodilator Agents, Fibrinolytic Agents
DB01165	Ofloxacin	Drug	Anti-Bacterial Agents, Nucleic Acid Synthesis Inhibitors, Anti-Infective Agents, Urinary, Anti-Infective Agents, Quinolones
DB01164	Calcium Chloride	Drug	Supplements
DB05521	Telaprevir	Drug	
DB01169	Arsenic trioxide	Drug	Antineoplastic Agents, Homeopathic Agents
DB01168	Procarbazine	Drug	Antineoplastic Agents
DB05528	Mipomersen	Drug	Anticholesteremic Agents, Hypolipidemic Agents, Oligodeoxyribonucleotides, Antisense
